employee_id,first_name,last_name,date_of_birth,photo_url,email,department_id,position_id,manager_id,employment_type_id,employment_status_id,hire_date,termination_date,termination_reason_id,created_at,updated_at,gender
1,Kevin,Miller,1981-02-01,https://i.postimg.cc/HLzhsr98/female-01.jpg,employee1@uptime-solutions.com,4,6,,1,2,2017-02-06,,,2026-07-26,2026-07-26,
2,Mark,Baker,1984-02-28,https://i.postimg.cc/vmhNH4tV/female-02.jpg,employee2@uptime-solutions.com,5,7,,4,2,2017-06-16,,,2026-07-26,2026-07-26,
3,Ian,Lyons,1983-10-21,https://i.postimg.cc/k5spX2vt/female-03.jpg,employee3@uptime-solutions.com,4,6,,4,2,2018-05-26,,,2026-07-26,2026-07-26,
4,Wesley,Lloyd,1989-10-17,https://i.postimg.cc/5tgRNXSz/female-04.jpg,employee4@uptime-solutions.com,4,5,,3,2,2017-05-17,,,2026-07-26,2026-07-26,
5,Tricia,Stephens,1972-07-13,https://i.postimg.cc/vBmS1G0T/male-01.jpg,employee5@uptime-solutions.com,1,2,,3,2,2019-01-01,,,2026-07-26,2026-07-26,
6,Joseph,Archer,1981-07-29,https://i.postimg.cc/V6NHSzK5/male-02.jpg,employee6@uptime-solutions.com,5,7,,4,2,2018-05-13,,,2026-07-26,2026-07-26,
7,Travis,Wheeler,1983-09-25,https://i.postimg.cc/MTGrcz9n/male-03.jpg,employee7@uptime-solutions.com,5,7,,3,2,2019-12-27,,,2026-07-26,2026-07-26,
8,Jenny,Cook,1984-04-11,https://i.postimg.cc/9MfN4cLr/male-04.jpg,employee8@uptime-solutions.com,2,3,,3,2,2018-06-06,,,2026-07-26,2026-07-26,
9,Paul,Thompson,1980-08-02,https://i.postimg.cc/HLzhsr98/female-01.jpg,employee9@uptime-solutions.com,2,3,,1,2,2017-03-13,,,2026-07-26,2026-07-26,
10,Jill,Romero,1984-01-14,https://i.postimg.cc/vmhNH4tV/female-02.jpg,employee10@uptime-solutions.com,3,4,,4,2,2017-05-19,,,2026-07-26,2026-07-26,
11,Melissa,Harris,1983-03-28,https://i.postimg.cc/k5spX2vt/female-03.jpg,employee11@uptime-solutions.com,1,2,,3,2,2020-09-05,,,2026-07-26,2026-07-26,
12,Benjamin,Cole,1970-09-11,https://i.postimg.cc/5tgRNXSz/female-04.jpg,employee12@uptime-solutions.com,4,6,,3,2,2017-01-10,,,2026-07-26,2026-07-26,
13,Nicole,Smith,1989-11-24,https://i.postimg.cc/vBmS1G0T/male-01.jpg,employee13@uptime-solutions.com,2,3,,1,2,2020-10-15,,,2026-07-26,2026-07-26,
14,Richard,Dudley,1983-05-21,https://i.postimg.cc/V6NHSzK5/male-02.jpg,employee14@uptime-solutions.com,2,3,,2,2,2020-08-03,,,2026-07-26,2026-07-26,
15,Brenda,Odom,1982-10-27,https://i.postimg.cc/MTGrcz9n/male-03.jpg,employee15@uptime-solutions.com,2,3,,3,2,2017-02-19,,,2026-07-26,2026-07-26,
16,Michael,Shaffer,1985-03-23,https://i.postimg.cc/9MfN4cLr/male-04.jpg,employee16@uptime-solutions.com,1,1,,1,2,2019-08-24,,,2026-07-26,2026-07-26,
17,Debra,Pratt,1977-10-14,https://i.postimg.cc/HLzhsr98/female-01.jpg,employee17@uptime-solutions.com,1,2,,3,2,2017-09-24,,,2026-07-26,2026-07-26,
18,Karen,Richardson,1986-12-03,https://i.postimg.cc/vmhNH4tV/female-02.jpg,employee18@uptime-solutions.com,5,7,,3,2,2020-01-07,,,2026-07-26,2026-07-26,
