employment_history_id,employee_id,employee_name,department,position,employment_type,start_date,end_date
1,1,Kevin Miller,Finance,Financial Analyst,Contract,2018-02-05,2020-01-01
8,7,Travis Wheeler,Information Technology,Data Analyst,Part-Time,2018-05-09,2018-11-21
12,10,Jill Romero,Finance,Financial Analyst,Temporary,2019-02-25,2020-02-15
17,14,Richard Dudley,Operations,Field Technician,Part-Time,2020-09-22,2021-07-07
22,18,Karen Richardson,Sales,Sales Representative,Part-Time,2020-07-08,2022-07-11
24,19,Alicia Fisher,Finance,Financial Analyst,Part-Time,2017-08-23,2018-11-20
29,23,Christopher Scott,Operations,Field Technician,Full-Time,2025-01-27,2026-04-13
32,25,Desiree Medina,Finance,Financial Analyst,Contract,2020-11-15,2021-10-18
37,29,Christopher Davis,Sales,Sales Representative,Temporary,2024-01-01,2024-11-20
39,30,Teresa James,Sales,Sales Representative,Contract,2025-02-23,2026-11-13
41,31,Jessica Durham,Information Technology,Software Developer,Contract,2026-06-17,2027-07-25
45,34,Kimberly Gutierrez,Sales,Sales Representative,Part-Time,2023-09-24,2024-09-26
52,40,Ashley Brown,Sales,Sales Representative,Contract,2023-02-02,2024-01-31
54,41,Jessica Horton,Operations,Operations Manager,Temporary,2021-04-19,2022-01-20
59,45,Tony Hess,Operations,Operations Manager,Contract,2021-08-07,2023-12-06
61,46,Justin Mckay,Sales,Sales Representative,Part-Time,2026-01-24,2028-07-09
64,48,Laurie Harrison,Human Resources,HR Specialist,Temporary,2024-05-02,2026-09-21
71,54,Evelyn Burton,Finance,Financial Analyst,Part-Time,2024-09-25,2025-06-23
73,55,Angela Dixon,Operations,Field Technician,Contract,2024-08-22,2025-05-04
76,57,Benjamin Mcdonald,Human Resources,HR Specialist,Contract,2023-06-20,2024-01-29
78,58,Tonya Wilson,Human Resources,HR Specialist,Temporary,2026-04-14,2028-04-12
85,64,Steven White,Operations,Operations Manager,Temporary,2023-08-15,2025-12-16
87,65,Linda King,Operations,Operations Manager,Temporary,2023-01-26,2023-09-10
90,67,Anne Stevens,Operations,Field Technician,Full-Time,2025-06-10,2027-11-07
93,69,Nicholas Hernandez,Information Technology,Software Developer,Part-Time,2024-01-28,2026-04-29
97,72,Tim Cook,Human Resources,HR Specialist,Contract,2022-02-21,2024-02-03
100,74,Joanne Dodson,Operations,Field Technician,Temporary,2024-02-05,2024-08-17
111,84,Raymond Santos,Operations,Operations Manager,Temporary,2025-03-23,2025-10-02
113,85,Lisa Young,Information Technology,Data Analyst,Full-Time,2020-01-18,2022-06-17
115,86,Kimberly Lee,Sales,Sales Representative,Part-Time,2020-08-04,2021-11-17
121,91,Kevin Hall,Information Technology,Software Developer,Full-Time,2025-09-06,2026-08-21
128,97,Michael Henry,Sales,Sales Representative,Temporary,2021-01-04,2023-02-14
132,100,Courtney Smith,Finance,Financial Analyst,Full-Time,2023-01-21,2024-12-28
135,102,Andrew Hamilton,Operations,Field Technician,Part-Time,2026-02-24,2027-01-10
144,110,Leonard West,Information Technology,Data Analyst,Full-Time,2026-09-02,2027-07-16
146,111,Amy Mitchell,Human Resources,HR Specialist,Full-Time,2020-09-24,2023-01-22
148,112,Elizabeth White,Operations,Field Technician,Part-Time,2025-09-09,2027-06-26
150,113,Ellen Bailey,Information Technology,Software Developer,Contract,2026-02-17,2028-07-05
152,114,Antonio Horn,Human Resources,HR Specialist,Part-Time,2024-02-21,2025-04-14
154,115,Kevin Simon,Finance,Financial Analyst,Temporary,2022-07-06,2024-06-11
156,116,Nicole Brown,Sales,Sales Representative,Contract,2020-03-27,2022-02-24
158,117,David Hughes,Operations,Operations Manager,Contract,2023-04-28,2023-10-29
160,118,Anita Davis,Sales,Sales Representative,Full-Time,2023-10-17,2024-08-15
165,122,Jared Holt,Finance,Financial Analyst,Full-Time,2020-03-24,2021-09-25
