employee_id,employee_name,email,department,position,manager,employment_type,employment_status,hire_date,termination_date,tenure_years,termination_reason,termination_category,tenure_band
57,Benjamin Mcdonald,employee57@uptime-solutions.com,Information Technology,Software Developer,Nicole Smith,Temporary,Terminated,2026-01-23,2026-04-02,0,Other,Other,0-1 Year
135,Donald Johnson,employee135@uptime-solutions.com,Information Technology,Data Analyst,Joseph Archer,Part-Time,Terminated,2022-08-25,2025-07-05,2,Illness or Injury,Operational,2-3 Years
150,Kenneth Fields,employee150@uptime-solutions.com,Operations,Field Technician,Paul Thompson,Temporary,Terminated,2021-01-23,2021-09-30,0,Work-Sharing,Operational,0-1 Year
173,Erin Grant,employee173@uptime-solutions.com,Information Technology,Data Analyst,Wesley Lloyd,Contract,Terminated,2020-01-28,2022-08-24,2,Other,Other,2-3 Years
186,Justin King,employee186@uptime-solutions.com,Information Technology,Data Analyst,Travis Wheeler,Part-Time,Terminated,2021-06-08,2022-11-30,1,Work-Sharing,Operational,0-1 Year
205,Terri Newman,employee205@uptime-solutions.com,Human Resources,HR Specialist,Karen Richardson,Contract,Terminated,2021-11-16,2023-11-27,2,Apprentice Training,Operational,2-3 Years
209,Nathan Robertson,employee209@uptime-solutions.com,Human Resources,HR Specialist,Brenda Odom,Part-Time,Terminated,2020-07-28,2025-12-25,5,Other,Other,4-5 Years
237,Christopher Thornton,employee237@uptime-solutions.com,Human Resources,HR Specialist,Tricia Stephens,Full-Time,Terminated,2026-05-27,2026-07-14,0,Work-Sharing,Operational,0-1 Year
278,Ryan Herrera,employee278@uptime-solutions.com,Information Technology,Data Analyst,Tricia Stephens,Contract,Terminated,2021-08-02,2021-08-02,0,Illness or Injury,Operational,0-1 Year
326,Valerie Duncan,employee326@uptime-solutions.com,Operations,Field Technician,Melissa Harris,Contract,Terminated,2020-06-17,2025-11-14,5,Illness or Injury,Operational,4-5 Years
372,Kristina Mitchell,employee372@uptime-solutions.com,Sales,Sales Representative,Alicia Fisher,Part-Time,Terminated,2022-10-16,2024-10-31,2,Apprentice Training,Operational,2-3 Years
453,Brian Vance,employee453@uptime-solutions.com,Sales,Sales Representative,Wesley Lloyd,Temporary,Terminated,2022-10-14,2026-08-27,3,Apprentice Training,Operational,2-3 Years
66,James Romero,employee66@uptime-solutions.com,Finance,Financial Analyst,Richard Dudley,Part-Time,Terminated,2023-08-17,2026-08-01,2,Mandatory Retirement / Workforce Reduction,Involuntary,2-3 Years
133,Daniel Green,employee133@uptime-solutions.com,Operations,Operations Manager,Paul Thompson,Full-Time,Terminated,2023-03-05,2026-02-26,2,Shortage of Work / Layoff / End of Contract,Involuntary,2-3 Years
194,Robert Lopez,employee194@uptime-solutions.com,Finance,Financial Analyst,Ian Lyons,Temporary,Terminated,2021-12-31,2022-06-27,0,Shortage of Work / Layoff / End of Contract,Involuntary,0-1 Year
292,Michelle Martinez,employee292@uptime-solutions.com,Sales,Sales Representative,Jill Romero,Temporary,Terminated,2024-04-10,2024-11-28,0,Dismissal,Involuntary,0-1 Year
344,Timothy Hill,employee344@uptime-solutions.com,Finance,Financial Analyst,Nicole Smith,Contract,Terminated,2026-08-27,2026-11-08,0,Dismissal,Involuntary,0-1 Year
363,Vanessa Brown,employee363@uptime-solutions.com,Finance,Financial Analyst,Alicia Fisher,Contract,Terminated,2022-06-15,2025-01-23,2,Dismissal,Involuntary,2-3 Years
381,Darren Moore,employee381@uptime-solutions.com,Sales,Sales Representative,Debra Pratt,Full-Time,Terminated,2020-12-11,2025-12-10,4,Shortage of Work / Layoff / End of Contract,Involuntary,4-5 Years
415,Andrew Williams,employee415@uptime-solutions.com,Finance,Financial Analyst,Benjamin Cole,Temporary,Terminated,2024-05-16,2026-02-06,1,Strike or Lockout,Involuntary,0-1 Year
439,Paul Holt,employee439@uptime-solutions.com,Sales,Sales Representative,Tricia Stephens,Contract,Terminated,2022-02-11,2022-02-19,0,Strike or Lockout,Involuntary,0-1 Year
469,Mary Williams,employee469@uptime-solutions.com,Human Resources,HR Specialist,Tricia Stephens,Temporary,Terminated,2025-11-05,2026-10-31,0,Dismissal,Involuntary,0-1 Year
476,Amanda Miles,employee476@uptime-solutions.com,Operations,Field Technician,Joseph Archer,Part-Time,Terminated,2023-11-13,2026-12-06,3,Mandatory Retirement / Workforce Reduction,Involuntary,2-3 Years
